Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage Method,Link to Coverage
,,,Store instruction coverpoint,Region index or default IO unmapped region crossed with passing store instruction,Check against RM,"ENV capability, not specific test",Functional Coverage,
,,,Atomic instruction coverpoint,Region index or default IO unmapped region crossed with atomic operation,Check against RM,"ENV capability, not specific test",Functional Coverage,
,,,Load alignment error coverpoint,Region index or default IO unmapped region crossed with load alignment error,Check against RM,"ENV capability, not specific test",Functional Coverage,
,,,Store alignment error coverpoint,Region index or default IO unmapped region crossed with store alignment error,Check against RM,"ENV capability, not specific test",Functional Coverage,
,,,Atomic load-reserved unallowed error coverpoint,Region index or default IO unmapped region crossed with atomic load-reserved unallowed error,Check against RM,"ENV capability, not specific test",Functional Coverage,
,,,Atomic store-conditional unallowed error coverpoint,Region index or default IO unmapped region crossed with atomic store-conditional unallowed error,Check against RM,"ENV capability, not specific test",Functional Coverage,
Risc-V Priv. spec,PMA Readability,PMA readable by SW,Design must support SW readback of attributes,"Read back set PMA parameters and ensure correspondence with configured parameters.

Read back and verify PMA parameters through MMRAM interface.",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
UM 0e447ac,Code Execution,Code Execution only from main memory,"Code execution is not allowed from IO region, any attempts to do so should result in an instruction access fault (exception code 1)","Verify that attempted code execution from an address located in a PMA region classified as IO always yields an instruction access fault (code 1). Accesses from Memory should never yield this access fault as no eXecutable flag exists, only Memory/IO classification

The following CSRs must be verified: Verify mcause, mepc, mtval

E.g. execute a JMP instruction to an area defined as IO (and/or unconfigured PMA region) and verify that an instruction access fault is triggered",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,Instruction fetch violation coverpoints,Instruction group type for failing instruction fetch violations,Instruction group type cover from ISACOV for each violated PMA instruction fetch,Other,"ENV capability, not specific test",Functional Coverage,
UM 0e447ac,Access match,Non-Overlapping PMA Regions,"A match should always be inside its matching region, 
Lower_bound[region] <= addr[addr_max:2] < Upper_bound[region]","Assert that match[region] always implies that the following holds: 
lower[region] & 2'b00 <= addr[31:0] < upper[region] 2'b00",Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,Perform arbitrary accesses: Verify that accesses are matched to their respective memory regions,Assertion Check,"ENV capability, not specific test","ENV capability, not specific test",
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,Overlapping PMA Regions,"Any access matching multiple regions should attain the attributes of
 the lowest numbered matching region",Perform arbitrary accesses and verify that addr[lowest byte] is always interpreted with the attributes of the lowest numbered matching region,Assertion Check,Directed Non-Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,,,,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,Non-Matching Accesses,"PMA_NUM_REGIONS==0: 
Accesses not matching attribute regions should be treated as: 
Memory
Non-Bufferable
Non-Cacheable
Atomic operations not allowed","Arbitrary accesses to non-configured PMA-areas.
Self checking test should attempt the following: 
- Non-aligned load/store accesses: should pass
- Atomic lr/sc operations (if supported by core): should fail
- Cacheable/Bufferable operations - verify instr and data_memtype[x] for correct behavior. (Assertions in OBI section should apply)
- Instruction fetch and execute: should pass",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,,"PMA_NUM_REGIONS>0
Accesses not matching attribute regions should be treated as: 
IO
Non-Bufferable
Non-Cacheable
Atomic operations not allowed","Arbitrary accesses to non-configured PMA-areas.
Self checking test should attempt the following: 
- Non-aligned load/store accesses: should fail
- Atomic lr/sc operations (if supported by core): should fail
- Cacheable/Bufferable operations - verify instr and data_memtype[x] for correct behavior. (Assertions in OBI section should apply)
- Instruction fetch and execute: should fail",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
UM 0e447ac,OBI transfer flags,Instruction fetches,"Bufferable flag effects - For any instruction fetch marked bufferable, the corresponding OBI transfer  instr_memtype[0] signal should be set to match the bufferable flag.",Ensure that instr_memtype[0] is set to 1 when an instruction fetch attempt is performed with the bufferable flag set to 1,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,Ensure that instr_memtype[0] is set to 0 when an instruction fetch attempt is performed with the bufferable flag set to 0,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,"Cacheable flag effects - For any instruction fetch marked cacheable, the corresponding OBI transfer instr_memtype[1] signal should be set to match the cacheable flag.",Ensure that instr_memtype[1] is set to 1 when an instruction fetch attempt is performed with the cacheable flag set to 1,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,Ensure that instr_memtype[1] is set to 0 when an instruction fetch attempt is performed with the cacheable flag set to 0,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,Instruction fetch attempts to PMA restricted regions should cause instr_req_o to be deasserted.,"Ensure that PMA violating instruction fetch attempts does not assert the instr_req_o signal by attempting execution of instructions from allowed and restricted areas of memory, checking that instr_req_o remains deasserted when restricted areas are accessed",Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,Data fetches,Bufferable flag effects - data_memtype[0] should match the bufferable flag.,Ensure that data_memtype[0] is set to 1 when an data fetch attempt is performed with the bufferable flag set to 1,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,Ensure that data_memtype[0] is set to 0 when an data fetch attempt is performed with the bufferable flag set to 0,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,Cacheable flag effects - data_memtype[1] should match the cacheable flag,Ensure that data_memtype[1] is set to 1 when an data fetch attempt is performed with the cacheable flag set to 1,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,Ensure that data_memtype[1] is set to 0 when an data fetch attempt is performed with the cacheable flag set to 0,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,Data fetch attempts to PMA restricted regions should cause data_req_o to be deasserted.,Ensure that PMA violating instruction fetch attempts does not assert the instr_req_o signal,Assertion Check,"ENV capability, not specific test",Functional Coverage,
UM 0e447ac,Non-Naturally Aligned Accesses,Non-naturally aligned data accesses shall only occur for Main memory accesses.,"Non-naturally aligned load access attempts to I/O shall
 cause a precise load access fault (exception code 5).","Attempt arbitrary non-naturally aligned load accesses to I/O regions specified by PMA and ensure that these accesses triggers precise load access fault exceptions (code 5). Ensure that non-aligned main memory accesses to permitted regions do not generate these exceptions. 

The following CSRs must be verified: Verify mcause, mepc, mtval

Test possible combinations of misalignment, the following are of particular interest as it will result in two memory access operations: 
ld from addresses in IO space with or_reduce(addr_lsb[2:0]) = 1
lw from addresses in IO space with or_reduce(addr_lsb[1:0]) = 1
lh from addresses in IO space with and_reduce(addr_lsb[1:0]) = 1
",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,,"Non-naturally aligned store access attempts to I/O shall
 cause a precise store access fault (exception code 7).","Attempt arbitrary non-naturally aligned store accesses to I/O regions specified by PMA and ensure that these accesses triggers precise store access fault exceptions (code 7). Ensure that non-aligned main memory accesses to permitted regions do not generate these exceptions

The following CSRs must be verified: Verify mcause, mepc, mtval

Test possible combinations of misalignment, the following are of particular interest as it will result in two memory access operations: 
sd to addresses in IO space with or_reduce(addr_lsb[2:0]) = 1
sw to addresses in IO space with or_reduce(addr_lsb[1:0]) = 1
sh to addresses in IO space with and_reduce(addr_lsb[1:0]) = 1",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,Multi-memory operation instructions,"When the first memory access of a non-naturally aligned load operation fails due to PMA checks, the second memory access shall also be supressed. ","Attempt non-naturally aligned load instructions to:
- IO
- Boundary between IO region and memory region s.t. first access will be in IO and second access will be in main memory. 

In both cases, data_req_o should remain low for both operations.",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Assertion Check,Constrained-Random,Functional Coverage,
,,,"If a PMA access fault occurs for any of the memory accesses in a non-naturally aligned load, the register file shall not be updated","Attempt non-naturally aligned load instructions to:
- IO
- Boundary between IO region and memory region s.t. first access will be in IO and second access will be in main memory. 
- Boundary between IO region and memory region s.t. first access will be in memory and second access will be in IO.

In both cases, the register file should remain unchanged.",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,,"When the first memory access of a non-naturally aligned store operation fails due to PMA checks, the second memory access shall also be supressed. ","Attempt non-naturally aligned load instructions to:
- IO
- Boundary between IO region and memory region s.t. first access will be in IO and second access will be in main memory. 


In both cases, data_req_o should remain low for both operations.",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
UM 0e447ac,Zce Extension,Push instructions,"push, push.e, c.push, c.push.e instructions shall only occur for main memory regions, any such *push* attempts to I/O shall cause a precise load access fault (exception code 5)","Attempt *push* operations to main memory and IO, verify that all *push* attempts to IO causes a precise store access fault (code 5) and that this does not occur for main memory.",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,Pop instructions,"pop, popret, pop.e, popret.e, c.pop, c.popret, c.pop.e, c.popret.e shall only occur for main memory regions, any such *pop* attempts from I/O shall cause a precise load access fault (exception code 7)","Attempt *pop* operations to main memory and IO, verify that all *pop* attempts to IO causes a precise loac access fault (code 7) and that this does not occur for main memory.",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,Table Jump,"Both jumps from a Zce table jump should be checked by PMA and handled as instruction fetches. 

PMA failure in the first table jump should suppress the second jump - instr_fetch_o should be suppressed and no jump to the restricted address shall be performed","First jump: Testing a violating first jump (jump to the jump table) requires a custom linker script that deliberatly places the jump table in a non-executable (IO) region. A test must verify that instructions attempting to jump to the jump table location causes an instruction access fault (exception code 1) and that instr_req_o is suppressed

The second instruction fetch should be suppressed.",Self Checking Test,Directed Self-Checking,Testcase,
,,,,"Second jump: Test should verify that a PMA access fault on the second jump (jump to the actual instruction address in IO region) should cause an instruction access fault (exception code 1), suppressing instr_req_o. ",Self Checking Test,Directed Self-Checking,Testcase,
,,,,Coverpoint - Table jumps passing PMA checks crossed with region index or default unmapped  memory region,Check against RM,Constrained-Random,Functional Coverage,
Zce spec. proposal,,,"Instruction fetch exceptions occurring when executing an address in the jump table should lead to mepc being set to the C.TBLJ* instruction, and mtval to the address in the jump table entry",Verify that an instruction fetch exception resulting from a jump table entry leads to mepc being set to the C.TBLJ* instruction and mtval to the address in the jump table entry.,Self Checking Test,Directed Self-Checking,Testcase,
Risc-V Debug spec.,Debug mode,Single step PMA exceptions,"Any instruction fetch exception that occurs while single stepping, causes debug mode to be re-entered after PC is changed to the exception handler and the appropriate tval and cause registers are updated","Verify that instruction fetches to PMA IO regions fails, the appropriate CSRs and PC is updated to the appropriate values and debug mode is reentered. ",Self Checking Test,Directed Self-Checking,Testcase,
,,Program buffer PMA exceptions,Exceptions in the program buffer should cause the program buffer code to end and cmderr set to 3 (exception error),"Verify that program buffer code attempting to fetch instructions from PMA IO region fails, PC is set to dm_exception_addr_i and cmderr is set to 3 (exception error). No other registers should be changed due to this exception.",Self Checking Test,Directed Self-Checking,Testcase,
UM 0e447ac,Atomic operations,Atomic operations shall only occur for regions in which Atomic operations are allowed. (Only applies for cores with A-extension),Load-Reserved attempts to a region where atomic operations are not permitted shall cause a precise load access fault (exception code 5),"Attempt arbitrary load-reserved memory operations to regions where atomic operations are not permitted and ensure that these operations trigger precise store/AMO access fault exceptions (code 7). Ensure that these operations do not generate these exceptions when performed on supported regions.

The following CSRs must be verified: Verify mcause, mepc, mtval",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
,,,Store-Conditional or Atomic Memory Operation (AMO) attempts to a region where Atomic operations are not allowed shall cause a precise store/AMO access fault (exception code 7).,"Attempt arbitrary store-conditional and atomic memory operations to regions where atomic operations are not allowed and ensure that these operations trigger precise store/AMO access fault exceptions (code 7). Ensure that this fault is not triggered when performing these operations on supported regions.

The following CSRs must be verified: Verify mcause, mepc, mtval",Self Checking Test,Directed Self-Checking,Testcase,
,,,,,Check against RM,Constrained-Random,Functional Coverage,
UM 0e447ac,Fence* instructions,Fence instructions disregards distinction between memory and IO,Fence instruction shall not be impacted by PMA memory/IO attribute and execute as a conservative fence on all operations ,"Coverpoint - Fence instructions (Fence, fence.i) should not be impacted by PMA.",Check against RM,Constrained-Random,Functional Coverage,
UM 0e447ac,Write Buffer,Bufferable operations,Only bufferable store accesses should use the internal write buffer,Assert that write buffer remains unchanged unless store accesses carry the bufferable flag,Assertion Check,"ENV capability, not specific test",Functional Coverage,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- END -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
