Requirement Location,Feature,Sub Feature,Feature Description,Verification Goal,Pass/Fail Criteria,Test Type,Coverage  Method,Link to Coverage,Comment
CORE-V CV32E40X User Manual,Performance Counters,CYCLES,platform specific event bit[0],Increments as long as the gated clock is ticking,Self Checking Test,Directed Self-Checking,Testcase,"TODO all of these selectors can be tested in ""mhpmcounter_basic_test.c"" and ""mhpmcounter_hazard_test.c"" but the tests have to be updated to the new counters spec",
,,INSTR,platform specific event bit[1],"Check that the counter increments for each instruction being retired (both non-compressed and compressed)
",Self Checking Test,Directed Self-Checking,Testcase,,
,,COMP_INSTR,platform specific event bit[2],"Check that the counter increments for each compressed instruction being retired (and not non-compressed)
",Self Checking Test,Directed Self-Checking,Testcase,,
,,JUMP,platform specific event bit[3],Increment for each taken jump instruction retired,Self Checking Test,Directed Self-Checking,Testcase,,
,,BRANCH,platform specific event bit[4],Increment for each branch instruction retired,Self Checking Test,Directed Self-Checking,Testcase,,
,,BRANCH_TAKEN,platform specific event bit[5],Increment for each branch instruction being taken is retired,Self Checking Test,Directed Self-Checking,Testcase,,
,,INTR_TAKEN,platform specific event bit[6],Increment for each taken interrupt (excluding NMI),Self Checking Test,Directed Self-Checking,Testcase,,
,,DATA_READ,platform specific event bit[7],Increment for each read transactions on the OBI data interface,Self Checking Test,Directed Self-Checking,Testcase,,
,,DATA_WRITE,platform specific event bit[8],Increment for each write transactions on the OBI data interface,Self Checking Test,Directed Self-Checking,Testcase,,
,,IF_INVALID,platform specific event bit[9],Increment each time IF causes ID stage under-utilization (!if_valid_o && id_ready_i),Self Checking Test,Directed Self-Checking,Testcase,,
,,ID_INVALID,platform specific event bit[10],Increment each time ID causes EX stage under-utilization (!id_valid_o && ex_ready_i),Self Checking Test,Directed Self-Checking,Testcase,,
,,EX_INVALID,platform specific event bit[11],Increment each time EX causes WB stage under-utilization (!ex_valid_o && wb_ready_i),Self Checking Test,Directed Self-Checking,Testcase,,
,,WB_INVALID,platform specific event bit[12],Increment each time WB causes regfile under-utilization (!wb_valid_o),Self Checking Test,Directed Self-Checking,Testcase,,
,,ID_LD_STALL,platform specific event bit[13],Check that the counter increments for each stall cycle due to a load use hazard,Self Checking Test,Directed Self-Checking,Testcase,,
,,ID_JMP_STALL,platform specific event bit[14],Check that the counter increments for each stall cycle due to a jump,Self Checking Test,Directed Self-Checking,Testcase,,
,,WB_DATA_STALL,platform specific event bit[15],Increment each time WB stage is stalled by loads/stores,Self Checking Test,Directed Self-Checking,Testcase,,
,,NUM_MHPMCOUNTERS,Parameter controling available number of mhpmcounters,"Test that the CSRs behave correctly when set to 0 (minimum), 29 (maximum), 1 (default), and 4 (arbitrary amount)",Self Checking Test,Directed Self-Checking,Testcase,,
,,Retirement timing,Updating retirement-related counters must have happened within the time the instruction is considered retired (i.e. must be visible on the rvfi retirement),"Check that retirement-related counters (INSTR, COMP_INSTR, JUMP, BRANCH, BRANCH_TAKEN) don't update too late",Assertion Check,Constrained-Random,Assertion Coverage,,
RISC-V External Debug Support Version 0.13.2,Debug Mode,stopcount,"stopcount=1 stop counters when in debug mode, while if stopcount=0 the counting are not halted when in debugmode.","mcycle continues during debug if stopcount=0, and stop if stopcount=1",Assertion Check,Constrained-Random,Assertion Coverage,,
,,,,"minstret continues during debug if stopcount=0, and stop if stopcount=1",Check against ISS,Constrained-Random,Functional Coverage,uvm_pkg.uvm_test_top.env.cov_model.counters_covg.counters_cg.x_minstret_in_dbg,Ensure that minstret is read during debug mode
,,,,"hpmcounter[31-3] continues during debug if stopcount=0, and stop if stopcount=1",Self Checking Test,Directed Self-Checking,Testcase,"DT: mhpmcounter3_dcsr_stopcount.c, TODO: test hpmcounter[31-4]",
,,,,,,,,,
,,,,,,,,,
 -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- END -----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,,
